Search Term,Matched Food Name,Serving Qty,Serving Size,Calories,Total Fat,Saturated,Polyunsaturated,Monounsaturated,Trans,Cholesterol,Sodium,Potassium,Total Carbs,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Palak Rice,Epic Palak Paneer with Rice,1,1 serving,418,20 g,11 g,--,--,--,--,498 mg,--,40 g,3 g,3 g,20 g,--,--,--,--
Beetroot Rice,Scale KSA Beetroot Rice,1,100 g,111,0.8 g,--,--,--,--,--,--,--,23.5 g,--,--,2.3 g,--,--,--,--
Mint Rice,Rice Dream Mint Pie,1,1 pie,340,20 g,10 g,0 g,0 g,0 g,0 mg,80 mg,0 mg,39 g,0 g,25 g,2 g,0 %,0 %,4 %,8 %
Plain Roti,Punjas Plain Roti,1,50 gram,160,5.1 g,3 g,2.8 g,0 g,0 g,0 mg,243 mg,0 mg,24.5 g,1.9 g,1.6 g,4 g,0 %,0 %,13 %,150 %
Butter Roti,Roti Rotis,1,100 gram,236,4.1 g,0.8 g,--,--,--,--,--,--,45.3 g,6.9 g,0.3 g,8.2 g,--,--,--,--
Tandoori Roti,Deep Tandoori Roti (58 G),1,1 Roti,165,1 g,--,--,--,--,0 mg,458 mg,167 mg,32 g,4 g,1 g,6 g,--,--,8 %,10 %
Paneer Paratha,Homestyle Paneer Paratha,1,1 paratha,265,13 g,--,--,--,--,10 mg,160 mg,--,28 g,6 g,1 g,9 g,--,--,8 %,15 %
Gobi Paratha,Indian Gobi Paratha,1,1 medium,184,7.5 g,--,--,--,--,0 mg,590.1 mg,143.2 mg,26.9 g,--,--,5 g,0.3 %,23.8 %,1.4 %,1.2 %
Methi Paratha,Homemade Methi Paratha,1,1 paratha (about 55g),131,8 g,--,--,--,--,--,--,--,25.2 g,--,--,7 g,--,--,--,--
Laccha Paratha,Laccha semai Epheni,1,100 gram,530,32.7 g,--,--,--,--,--,--,--,51.9 g,--,--,7 g,--,--,--,--
Pudina Paratha,Kawan Pudina Mini Paratha,1,1 piece,150,6 g,4 g,0 g,0 g,0 g,0 mg,230 mg,50 mg,21 g,2 g,1 g,3 g,0 %,0 %,15.7 %,0.4 %
Ajwain Paratha,Goeld Ajwain Paratha,1,50 gram,135,2.91 g,1.15 g,--,--,--,--,105 mg,87.5 mg,24.78 g,2.6 g,--,2.39 g,--,--,--,--
Bhakri (jowar/bajra),Deep Bhakri Masala,1,1 piece,130,6 g,2.5 g,--,--,0 g,0 mg,150 mg,94 mg,18 g,1 g,1 g,2 g,--,--,2.6 %,6 %
Missi Roti,Mom Made Missi Roti,1,1 roti,200,4 g,1 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,0 g,0 g,0 g,0 g,0 %,0 %,0 %,0 %
Makki di Roti,FWN Makki roti (FWN),1,40 gram,91,3.6 g,--,--,--,--,--,--,--,13.7 g,1.5 g,--,1.3 g,--,--,--,--
