food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Toovar Dal,Toovar Dal Recipe (Toor Dal),https://www.tarladalal.com/basic-toovar-dal-recipe-toor-dal-42289r,https://www.tarladalal.com/calories-for-Basic-Toovar-Dal-Recipe-Toor-Dal-42289,2,13,For Basic Toovar Dal Recipe,serving,Nutrient values (Abbrv) per serving,19.1 g,0 mg,143 Calories,4.3 g,3.1 g,7.1 g,11 mg
Rice Kheer,Rice Kheer Recipe (Chawal Ki Kheer),https://www.tarladalal.com/rice-kheer-2040r,https://www.tarladalal.com/calories-for-Rice-Kheer-2040,2,11,For Rice Kheer | Garnish For The Rice Kheer,plate,Nutrient values (Abbrv)per plate,30.6 g,13 mg,235 Calories,8.1 g,0.5 g,5.9 g,42 mg
Moong Dal Dosa,Moong Dal Dosa Recipe (Moong Dosa),https://www.tarladalal.com/moong-dal-dosa----idlis-and-dosas--1698r,https://www.tarladalal.com/calories-for-Moong-Dal-Dosa----Idlis-and-Dosas--1698,2,6,For Moong Dal Dosa | For Serving With Moong Dal Dosa,dosa,Nutrient values (Abbrv) per dosa,17.0 g,0 mg,132 Calories,5.2 g,1.6 g,4.3 g,5 mg
Vegetable Chow Mein,Vegetable Chow Mein Recipe (Indina Style Chowmein),https://www.tarladalal.com/vegetable-chow-mein-4162r,https://www.tarladalal.com/calories-for-Vegetable-Chow-Mein-4162,2,17,For The Vegetable Chow Mein,plate,Nutrient values (Abbrv)per plate,46.2 g,0 mg,253 Calories,4.5 g,2.0 g,7.9 g,321 mg
Phulka,Phulka Recipe (Indian Chapati),https://www.tarladalal.com/phulka-recipe-indian-chapati-recipe-4392r,https://www.tarladalal.com/calories-for-Phulka-Recipe-Indian-Chapati-Recipe-4392,2,2,For Phulka,phulka,Nutrient values (Abbrv) per phulka,11.8 g,0 mg,55 Calories,0.3 g,1.9 g,2.0 g,197 mg
Salted Lassi,Salted Lassi Recipe (Namkeen Lassi),https://www.tarladalal.com/salted-lassi-40698r,https://www.tarladalal.com/calories-for-Salted-Lassi-40698,2,4,For Salted Lassi,glasse,Nutrient values (Abbrv) per glasse,7.5 g,24 mg,176 Calories,9.8 g,0.0 g,6.5 g,804 mg
Masala Chai,Masala Chai Recipe (Masala Tea),https://www.tarladalal.com/masala-chai-or-masala-tea-40555r,https://www.tarladalal.com/calories-for-Masala-Chai-Or-Masala-Tea-40555,2,6,For Masala Chai,cups.,Nutrient values (Abbrv) per cups.,12.2 g,9 mg,105 Calories,3.7 g,0.0 g,2.5 g,11 mg
Whole Wheat Khakhra,Whole Wheat Khakhra Recipe (Gujarati Whole Wheat Khakhra),https://www.tarladalal.com/khakhra--whole-wheat-35900r,https://www.tarladalal.com/calories-for-Khakhra--Whole-Wheat-35900,2,5,For The Khakhra,khakra,Nutrient values (Abbrv) per khakra,15.7 g,0 mg,119 Calories,5.4 g,2.6 g,2.6 g,4 mg
Restaurant Style Palak Paneer,Restaurant Style Palak Paneer Recipe (Healthy Palak Paneer),https://www.tarladalal.com/restaurant-style-palak-paneer-healthy-palak-paneer-22796r,https://www.tarladalal.com/calories-for-Restaurant-Style-Palak-Paneer-Healthy-Palak-Paneer-22796,2,15,For Restaurant Style Palak Paneer Recipe | For The Onion-cashew Paste,serving,Nutrient values (Abbrv) per serving,16.4 g,3 mg,374 Calories,28.4 g,4.3 g,13.3 g,99 mg
Curd Rice,Curd Rice Recipe (South Indian Curd Rice),https://www.tarladalal.com/curd-rice-south-indian-curd-rice-recipe-32893r,https://www.tarladalal.com/calories-for-Curd-Rice-South-Indian-Curd-Rice-Recipe-32893,2,9,For Curd Rice,plate,Nutrient values (Abbrv)per plate,36.9 g,20 mg,376 Calories,18.7 g,1.8 g,8.5 g,28 mg
Til Ke Laddu,Til Ke Laddu Recipe (Til Ke Ladoo),https://www.tarladalal.com/til-laddu-til-ke-ladoo-til-gud-ladoo-recipe-5016r,https://www.tarladalal.com/calories-for-Til-Laddu-Til-Ke-Ladoo-Til-Gud-Ladoo-Recipe-5016,2,5,For Til Laddu,ladoo,Nutrient values (Abbrv) per ladoo,13.0 g,0 mg,110 Calories,5.6 g,1.7 g,2.2 g,1 mg
Maharashtrian Style Nachni Bhakri,Maharashtrian Style Nachni Bhakri Recipe (Ragi Bhakri),https://www.tarladalal.com/maharashtrian-style-nachni-bhakri--ragi-bhakri-38627r,https://www.tarladalal.com/calories-for-Maharashtrian-Style-Nachni-Bhakri--Ragi-Bhakri-38627,2,4,For Maharashtrian Style Bhakri,roti,Nutrient values (Abbrv) per roti,14.1 g,1 mg,94 Calories,3.4 g,2.4 g,1.7 g,5 mg
Maida Tandoori Roti,Maida Tandoori Roti Recipe (No Yeast Tandoori Roti On Tava),https://www.tarladalal.com/maida-tandoori-roti-2421r,https://www.tarladalal.com/calories-for-Maida-Tandoori-Roti-2421,2,12,For Maida Tandoori Roti,roti,Nutrient values (Abbrv) per roti,37.2 g,6 mg,215 Calories,4.6 g,0.4 g,6.2 g,103 mg
Sunny Side Up Eggs,Sunny Side Up Eggs Recipe (Breakfast),https://www.tarladalal.com/sunny-side-up-eggs-breakfast-recipe-42311r,https://www.tarladalal.com/calories-for-Sunny-Side-Up-Eggs-Breakfast-Recipe-42311,2,3,Main Ingredients,egg,Nutrient values (Abbrv) per egg,0.0 g,4 mg,97 Calories,7.9 g,0.0 g,6.7 g,12 mg
Dahi Vada,Dahi Vada Recipe | Soft Dahi Bhalla Chaat at Home,https://www.tarladalal.com/dahi-vadas-dahi-bhalla-north-indian-chaat-recipe-2816r,https://www.tarladalal.com/calories-for-Dahi-Vadas-Dahi-Bhalla-North-Indian-Chaat-Recipe-2816,2,12,For The Garnish | For The Topping | For The Vadas,plate,Nutrient values (Abbrv)per plate,31.4 g,0 mg,318 Calories,15.8 g,6.3 g,12.7 g,21 mg
Tabbouleh,Tabbouleh Recipe (Lebanese Tabbouleh),https://www.tarladalal.com/tabbouleh-lebanese-tabbouleh-22587r,https://www.tarladalal.com/calories-for-Tabbouleh-Lebanese-Tabbouleh-22587,2,10,For Tabbouleh | To Be Mixed Together For The Tabbouleh Dressing,serving,Nutrient values (Abbrv) per serving,14.5 g,0 mg,136 Calories,8.0 g,2.3 g,2.0 g,10 mg
Mixed Vegetable Clear Soup,Mixed Vegetable Clear Soup Recipe. Healthy Veg Soup,https://www.tarladalal.com/mixed-vegetable-clear-soup-4203r,https://www.tarladalal.com/calories-for-Mixed-Vegetable-Clear-Soup-4203,2,14,For Mixed Vegetable Clear Soup,serving,Nutrient values (Abbrv) per serving,3.7 g,0 mg,32 Calories,1.5 g,1.9 g,1.1 g,15 mg
Oats Roti,Oats Roti Recipe (Oats Paratha),https://www.tarladalal.com/healthy-oats-roti-oats-paratha-5286r,https://www.tarladalal.com/calories-for-Healthy-Oats-Roti-Oats-Paratha-5286,2,8,For The Oats Roti,plate,Nutrient values (Abbrv)per plate,12.3 g,0 mg,88 Calories,3.5 g,2.0 g,2.3 g,3 mg
Dal Makhani,Dal Makhani Recipe (How To Make Dal Makhani),https://www.tarladalal.com/dal-makhani-30900r,https://www.tarladalal.com/calories-for-Dal-Makhani-30900,2,17,For The Dal Makhani Recipe,serving,Nutrient values (Abbrv) per serving,24.0 g,23 mg,278 Calories,16.9 g,6.9 g,8.4 g,98 mg
Rice Porridge,Rice Porridge Recipe (Pressure Cooker Rice Porridge),https://www.tarladalal.com/rice-porridge-4211r,https://www.tarladalal.com/calories-for-Rice-Porridge-4211,2,4,For Rice Porridge,cup,Nutrient values (Abbrv) per cup,15.6 g,0 mg,78 Calories,1.1 g,0.8 g,1.4 g,1 mg
Sambar,Sambar Recipe (Idlis and Dosas),https://www.tarladalal.com/sambar--sambhar-idlis-and-dosas-1663r,https://www.tarladalal.com/calories-for-Sambar--Sambhar-Idlis-and-Dosas-1663,2,21,For The Sambhar Masala (makes 1/4 Cup) | Other Ingredients,serving,Nutrient values (Abbrv) per serving,18.0 g,0 mg,122 Calories,3.4 g,3.0 g,5.1 g,11 mg
Gajar Ka Halwa With Khoya,Gajar Ka Halwa With Khoya Recipe (Punjabi Carrot Halwa),https://www.tarladalal.com/gajar-ka-halwa-carrot-halwa-4102r,https://www.tarladalal.com/calories-for-Gajar-ka-Halwa-Carrot-Halwa-4102,2,6,For Gajar ka Halwa | For The Garnish,serving,Nutrient values (Abbrv) per serving,41.8 g,0 mg,386 Calories,21.7 g,3.9 g,5.6 g,31 mg
Potato Sandwich,Potato Sandwich Recipe (Aloo Sandwich),https://www.tarladalal.com/potato-sandwich-aloo-sandwich-on-a-tava-indian-snack-41930r,https://www.tarladalal.com/calories-for-Potato-Sandwich-Aloo-Sandwich-On-A-Tava-Indian-Snack-41930,2,13,For Serving With Potato Sandwich | Other Ingredients For Potato Sandwich | To Be Mixed Into A Stuffing,sandwiche,Nutrient values (Abbrv) per sandwiche,35.2 g,19 mg,217 Calories,6.5 g,1.3 g,4.4 g,70 mg
Bhakri ( Gujarati ),Bhakri ( Gujarati ) Recipe (Kathiyi Bhakri),https://www.tarladalal.com/bhakri--gujarat-recipe-628r,https://www.tarladalal.com/calories-for-Bhakri--Gujarati-Recipe-628,2,5,For Bhakri | For Serving With The Bhakri,bhakhri,Nutrient values (Abbrv) per bhakhri,18.9 g,0 mg,169 Calories,9.4 g,3.2 g,3.1 g,5 mg
Tomato Cucumber And Onion Salad,Tomato Cucumber And Onion Salad Recipe,https://www.tarladalal.com/tomato-cucumber-and-onion-salad-3534r,https://www.tarladalal.com/calories-for-Tomato-Cucumber-and-Onion-Salad-3534,2,7,"For Tomato , Cucumber and Onion Salad | To Be Mixed Into A Dressing",serving,Nutrient values (Abbrv) per serving,3.0 g,0 mg,16 Calories,0.1 g,1.6 g,0.7 g,93 mg
Lebanese Garlic Sauce,Lebanese Garlic Sauce Recipe (Eggless Lebanese Garlic Sauce),https://www.tarladalal.com/lebanese-garlic-sauce-22579r,https://www.tarladalal.com/calories-for-Lebanese-Garlic-Sauce-22579,2,5,For Lebanese Garlic Sauce,cup,Nutrient values (Abbrv) per cup,6.7 g,0 mg,1834 Calories,200.5 g,1.0 g,0.6 g,1 mg
Dal Vada,Dal Vada Recipe (Chana Dal Vada),https://www.tarladalal.com/dal-vada-south-indian-chana-dal-vada-masala-vada-40197r,https://www.tarladalal.com/calories-for-Dal-Vada-South-Indian-Chana-Dal-Vada-Masala-Vada-40197,2,11,For Dal Vada | For Serving With Dal Vada,vada,Nutrient values (Abbrv) per vada,6.2 g,0 mg,91 Calories,6.4 g,1.5 g,2.1 g,7 mg
Grilled Paneer Sandwich,Grilled Paneer Sandwich Recipe | Easy Veg Snack,https://www.tarladalal.com/paneer-sandwich-recipe--grilled-paneer-sandwich-42073r,https://www.tarladalal.com/calories-for-Paneer-Sandwich-Recipe--Grilled-Paneer-Sandwich-42073,2,15,For Paneer Sandwich | For Serving With Paneer Sandwich | To Be Mixed Into A Paneer Stuffing,sandwiche,Nutrient values (Abbrv) per sandwiche,25.2 g,12 mg,158 Calories,4.4 g,2.0 g,4.5 g,41 mg
Punjabi Sarson Ka Saag,Punjabi Sarson Ka Saag Recipe (Winter Special),https://www.tarladalal.com/sarson-ka-saag-punjabi-sarson-ka-saag-recipe-32800r,https://www.tarladalal.com/calories-for-Sarson-ka-Saag-Punjabi-Sarson-Ka-Saag-Recipe-32800,3,14,For Sarson ka Saag | For Serving With Sarson ka Saag,serving,Nutrient values (Abbrv) per serving,4.3 g,0 mg,64 Calories,4.4 g,2.2 g,1.9 g,51 mg
Ven Pongal,Ven Pongal Recipe (Khara Pongal),https://www.tarladalal.com/ven-pongal-south-indian-breakfast-32896r,https://www.tarladalal.com/calories-for-Ven-Pongal-South-Indian-Breakfast-32896,3,11,For Serving With Ven Pongal | For Ven Pongal,serving,Nutrient values (Abbrv) per serving,29.0 g,0 mg,212 Calories,8.2 g,2.2 g,5.5 g,6 mg
Jowar Roti,Jowar Roti Recipe (Jowar Ki Roti),https://www.tarladalal.com/jowar-roti-41569r,https://www.tarladalal.com/calories-for-Jowar-Roti-41569,3,3,For Jowar Roti | for serving,plate,Nutrient values (Abbrv)per plate,10.2 g,0 mg,49 Calories,0.3 g,1.4 g,1.5 g,1 mg
Chaas,Chaas Recipe (Plain Indian Buttermilk),https://www.tarladalal.com/chaas-buttermilk-recipe-salted-chaas-recipe-542r,https://www.tarladalal.com/calories-for-Chaas-Buttermilk-Recipe-Salted-Chaas-Recipe-542,3,9,For The Chaas | For The Chaas Garnish,plate,Nutrient values (Abbrv)per plate,5.0 g,16 mg,128 Calories,7.8 g,0.0 g,4.3 g,19 mg
Healthy Bhindi Masala,Healthy Bhindi Masala Recipe (Dry Lady Finger Sabzi),https://www.tarladalal.com/bhindi-masala-22206r,https://www.tarladalal.com/calories-for-Bhindi-Masala-22206,3,13,For Bhindi Masala | For Serving With Bhindi Masala | For The Bhindi Masala Paste,serving,Nutrient values (Abbrv) per serving,9.7 g,0 mg,89 Calories,4.5 g,2.9 g,2.6 g,12 mg
Poha Chivda,Poha Chivda Recipe (Roasted Poha Chivda),https://www.tarladalal.com/poha-chivda-40251r,https://www.tarladalal.com/calories-for-Poha-Chivda-40251,3,11,For Poha Chivda,cups.,Nutrient values (Abbrv) per cups.,53.3 g,0 mg,358 Calories,13.3 g,0.9 g,6.1 g,16 mg
Rava Chilla,Rava Chilla Recipe (Sooji Ka Cheela),https://www.tarladalal.com/rava-chilla-sooji-breakfast-chilla-42441r,https://www.tarladalal.com/calories-for-Rava-Chilla-Sooji-Breakfast-Chilla-42441,3,12,For Rava Chilla | For Serving With Rava Chilla,chilla,Nutrient values (Abbrv) per chilla,13.8 g,0 mg,121 Calories,6.5 g,0.1 g,1.9 g,4 mg
Rasmalai,Rasmalai Recipe (Bengali Rasmalai),https://www.tarladalal.com/rasmalai-bengali-rasmalai-recipe-2011r,https://www.tarladalal.com/calories-for-Rasmalai-Bengali-Rasmalai-Recipe-2011,3,10,For The Garnish | For The Rasgulla | For The Saffron Flavoured Milk,serving,Nutrient values (Abbrv) per serving,67.3 g,64 mg,662 Calories,26.3 g,0.2 g,17.4 g,77 mg
Mysore Masala Dosa,Mysore Masala Dosa Recipe,https://www.tarladalal.com/mysore-masala-dosa--mumbai-roadside-recipe-33392r,https://www.tarladalal.com/calories-for-Mysore-Masala-Dosa--Mumbai-Roadside-Recipe-33392,3,28,For Serving With Mysore Masala Dosa | For The Mysore Chutney (makes 1 1/2 Cups) | For The Mysore Masala | Other Ingredients For Mysore Masala Dosa,dosas.,Nutrient values (Abbrv) per dosas.,50.0 g,45 mg,650 Calories,32.8 g,10.3 g,38.9 g,191 mg
Dal Tadka,Dal Tadka Recipe (Authentic Punjabi Dal Tadka),https://www.tarladalal.com/dal-tadka-punjabi-dal-tadka-30903r,https://www.tarladalal.com/calories-for-Dal-Tadka-Punjabi-Dal-Tadka-30903,3,19,For The Dal Tadka Recipe | For The Garnish,serving,Nutrient values (Abbrv) per serving,28.9 g,0 mg,259 Calories,10.7 g,4.9 g,12.0 g,4 mg
Akkha Masoor Dal,Akkha Masoor Dal Recipe (Kolhapuri Style Akkha Masoor),https://www.tarladalal.com/whole-masoor-dal-sabut-masoor-dal-how-to-make-whole-masoor-dal-5293r,https://www.tarladalal.com/calories-for-Whole-Masoor-Dal-Sabut-Masoor-Dal-How-To-Make-Whole-Masoor-Dal-5293,3,25,For Akkha Masoor Dal | For Tempering,serving,Nutrient values (Abbrv) per serving,27.4 g,0 mg,258 Calories,12.4 g,4.2 g,9.2 g,7 mg
Sooji Ka Halwa,Sooji Ka Halwa Recipe (Suji Ka Halwa In Microwave),https://www.tarladalal.com/sooji-ka-halwa-suji-halwa-in-microwave-2785r,https://www.tarladalal.com/calories-for-Sooji-ka-Halwa-Suji-Halwa-in-Microwave-2785,3,6,For Sooji ka Halwa,serving,Nutrient values (Abbrv) per serving,42.5 g,3 mg,285 Calories,11.2 g,0.5 g,2.7 g,15 mg
Paneer Tikka,Paneer Tikka Recipe (Restaurant Style Paneer Tikka),https://www.tarladalal.com/paneer-tikka-2754r,https://www.tarladalal.com/calories-for-Paneer-Tikka-2754,3,17,For Paneer Tikka | For The Marinade,plate,Nutrient values (Abbrv)per plate,3.5 g,2 mg,124 Calories,9.8 g,0.2 g,4.9 g,3 mg
Dry Fruits Milkshake,Dry Fruits Milkshake Recipe (Indian Dry Fruit Milkshake),https://www.tarladalal.com/dry-fruit-milkshake-41868r,https://www.tarladalal.com/calories-for-Dry-Fruit-Milkshake-41868,3,12,For Dry Fruit Milkshake | For The Garnish,glasse,Nutrient values (Abbrv) per glasse,30.2 g,16 mg,342 Calories,20.6 g,3.1 g,9.9 g,22 mg
Gond Ke Ladoo,Gond Ke Ladoo Recipe | Dinkache Ladoo Traditional,https://www.tarladalal.com/gond-ke-ladoo-dinkache-ladoo-3909r,https://www.tarladalal.com/calories-for-Gond-Ke-Ladoo-Dinkache-Ladoo-3909,3,13,For Gond Ke Ladoo,plate,Nutrient values (Abbrv)per plate,27.6 g,0 mg,263 Calories,16.0 g,1.6 g,2.4 g,4 mg
Punjabi Aloo Gobi,Punjabi Aloo Gobi Recipe,https://www.tarladalal.com/aloo-gobi-aloo-gobhi-recipe-22792r,https://www.tarladalal.com/calories-for-Aloo-Gobi-Aloo-Gobhi-Recipe-22792,3,16,For Aloo Gobi | For Serving With Aloo Gobi | For The Garnish,serving,Nutrient values (Abbrv) per serving,23.7 g,0 mg,208 Calories,11.3 g,3.7 g,3.0 g,40 mg
Veg Pakora,Veg Pakora Recipe (Mixed Vegetable Pakora),https://www.tarladalal.com/veg-pakora-mixed-vegetable-pakoda-42075r,https://www.tarladalal.com/calories-for-Veg-Pakora-Mixed-Vegetable-Pakoda-42075,3,17,For Serving With Veg Pakora | For Veg Pakora,serving,Nutrient values (Abbrv) per serving,25.1 g,0 mg,315 Calories,20.6 g,5.9 g,7.3 g,27 mg
Masala Papad,Masala Papad Recipe (Masala Papad 2 Ways),https://www.tarladalal.com/masala-papad-1472r,https://www.tarladalal.com/calories-for-Masala-Papad-1472,3,13,For Masala Papad | To Be Mixed Into A Masala Powder,papad,Nutrient values (Abbrv) per papad,10.1 g,0 mg,115 Calories,7.1 g,2.5 g,2.6 g,13 mg
Dahi Puri,Dahi Puri Recipe (Dahi Batata Puri),https://www.tarladalal.com/dahi-puri-2807r,https://www.tarladalal.com/calories-for-Dahi-Puri-2807,3,13,For Dahi Puri | For The Garnish,plates.,Nutrient values (Abbrv) per plates.,29.8 g,16 mg,367 Calories,22.1 g,2.2 g,7.4 g,25 mg
Ragi Roti,Ragi Roti Recipe (Nachni Vegetable Paratha),https://www.tarladalal.com/ragi-roti-22220r,https://www.tarladalal.com/calories-for-Ragi-Roti-22220,3,8,Ragi Roti,roti,Nutrient values (Abbrv) per roti,14.0 g,0 mg,87 Calories,2.8 g,2.5 g,1.6 g,7 mg
Mysore Pak,Mysore Pak Recipe (South Indian Sweet Mysore Pak),https://www.tarladalal.com/mysore-pak-2043r,https://www.tarladalal.com/calories-for-Mysore-Pak-2043,3,5,For Mysore Pak,piece,Nutrient values (Abbrv) per piece,30.2 g,0 mg,324 Calories,21.4 g,1.8 g,2.4 g,9 mg
Punjabi Kadhi,Punjabi Kadhi Recipe (Punjabi Besan Kadhi),https://www.tarladalal.com/punjabi-kadhi-healthy-punjabi-besan-kadhi-30901r,https://www.tarladalal.com/calories-for-Punjabi-Kadhi-Healthy-Punjabi-Besan-Kadhi-30901,3,13,For The Punjabi Kadhi | Garnish For The Punjabi Kadhi,plate,Nutrient values (Abbrv)per plate,6.4 g,12 mg,137 Calories,8.8 g,0.6 g,4.1 g,17 mg
How to Make Soft and Fluffy South Indian Idli,How to Make Soft and Fluffy South Indian Idli,https://www.tarladalal.com/idli-1652r,https://www.tarladalal.com/calories-for-Idli-1652,3,8,For Idli | For Serving With Idli,plate,Nutrient values (Abbrv)per plate,7.2 g,0 mg,33 Calories,0.1 g,0.3 g,1.0 g,1 mg
Mixed Sprouts Salad,Mixed Sprouts Salad Recipe | Healthy Indian Salad,https://www.tarladalal.com/mixed-sprouts-salad-7444r,https://www.tarladalal.com/calories-for-Mixed-Sprouts-Salad-7444,3,9,For Mixed Sprouts Salad | For The Tempering,plate,Nutrient values (Abbrv)per plate,8.0 g,0 mg,62 Calories,2.0 g,2.7 g,3.0 g,10 mg
Veg Pulao In Pressure Cooker + 3 Variations Of Veg Pulao,Veg Pulao In Pressure Cooker + 3 Variations Of Veg Pulao Recipe,https://www.tarladalal.com/pressure-cooker-veg-pulao-veg-pulao-in-pressure-cooker-1745r,https://www.tarladalal.com/calories-for-Pressure-Cooker-Veg-Pulao-Veg-Pulao-in-Pressure-Cooker-1745,3,17,For Serving With The Vegetable Pulao | For The Vegetable Pulao,serving,Nutrient values (Abbrv) per serving,37.3 g,0 mg,231 Calories,7.3 g,3.3 g,4.0 g,10 mg
Spring Rolls,Spring Rolls Recipe (Chinese Spring Roll),https://www.tarladalal.com/spring-rolls-chinese-veg-spring-roll-recipe-313r,https://www.tarladalal.com/calories-for-Spring-Rolls-Chinese-Veg-Spring-Roll-Recipe-313,3,16,For Serving With Spring Rolls | For Spring Rolls | For The Spring Rolls Stuffing | Other Ingredients | To Be Mixed Into A Maida-water Mixture,roll,Nutrient values (Abbrv) per roll,16.0 g,0 mg,145 Calories,7.9 g,1.1 g,2.6 g,106 mg
Instant Rava Idli,Instant Rava Idli Recipe. Soft & Fluffy Sooji Idli,https://www.tarladalal.com/sooji-idli--suji-idli-1384r,https://www.tarladalal.com/calories-for-Sooji-Idli--Suji-Idli-1384,3,15,For Serving With Sooji Idli | For The Sooji Idli Batter | Other Ingredients For Sooji Idli,idli,Nutrient values (Abbrv) per idli,7.4 g,1 mg,44 Calories,0.9 g,0.1 g,1.3 g,3 mg
Maharashtrian Puran Poli,Maharashtrian Puran Poli Recipe (Puran Poli),https://www.tarladalal.com/puran-poli-maharashtrian-puran-poli-recipe-37027r,https://www.tarladalal.com/calories-for-Puran-Poli-Maharashtrian-Puran-Poli-Recipe-37027,3,9,For Serving With Puranpoli | For The Dough | For The Puran Poli Filling | Other Ingredients For Puranpoli,puran poli,Nutrient values (Abbrv) per puran poli,41.6 g,0 mg,232 Calories,4.7 g,5.9 g,6.8 g,18 mg
Petha,Petha Recipe (Agre Petha Sweet),https://www.tarladalal.com/petha-2049r,https://www.tarladalal.com/calories-for-Petha-2049,3,6,For Petha,piece,Nutrient values (Abbrv) per piece,18.5 g,0 mg,74 Calories,0.0 g,0.0 g,0.0 g,0 mg
Egg Curry,Egg Curry Recipe (Restaurant Style Anda Masala),https://www.tarladalal.com/egg-curry-recipe-42114r,https://www.tarladalal.com/calories-for-Egg-Curry-Recipe-42114,3,23,Other Ingredients | To Be Mixed Into Masala Paste | To Blend Into Coarse Tomato Paste,serving,Nutrient values (Abbrv) per serving,5.2 g,1 mg,208 Calories,17.3 g,0.7 g,7.8 g,6 mg
Khari Biscuit,Khari Biscuit Recipe | Crispy Puff Pastry Tea-Time Snack,https://www.tarladalal.com/khari-biscuit-puff-pastry-biscuits-2566r,https://www.tarladalal.com/calories-for-Khari-Biscuit-Puff-Pastry-Biscuits-2566,3,6,For Khari Biscuit,plate,Nutrient values (Abbrv)per plate,10.2 g,0 mg,49 Calories,0.1 g,0.0 g,1.7 g,171 mg
Aloo Tikki Burger,Aloo Tikki Burger Recipe (Macaloo Tikki Burger),https://www.tarladalal.com/aloo-tikki-burger-42205r,https://www.tarladalal.com/calories-for-Aloo-Tikki-Burger-42205,3,25,For The Aloo Tikki | Other Ingredients For Aloo Tikki Burger | To Be Mixed Into A Spread,burger,Nutrient values (Abbrv) per burger,62.1 g,23 mg,573 Calories,34.4 g,1.9 g,10.1 g,713 mg
Sprouted Moong Salad | Healthy Indian Salad,Sprouted Moong Salad | Healthy Indian Salad Recipe,https://www.tarladalal.com/sprouted-moong-salad-1350r,https://www.tarladalal.com/calories-for-Sprouted-Moong-Salad-1350,3,10,For Sprouted Moong Salad,plate,Nutrient values (Abbrv)per plate,17.5 g,0 mg,100 Calories,0.4 g,5.4 g,6.4 g,17 mg
Jain Paneer Paratha,Jain Paneer Paratha Recipe (No Onion),https://www.tarladalal.com/paneer-paratha-jain-paneer-paratha-recipe-1615r,https://www.tarladalal.com/calories-for-Paneer-Paratha-Jain-Paneer-Paratha-Recipe-1615,3,10,For The Dough | Other Ingredients For Paneer Paratha | To Be Mixed Into A Stuffing,paratha,Nutrient values (Abbrv) per paratha,22.2 g,0 mg,189 Calories,8.5 g,3.5 g,6.9 g,8 mg
Chocolate Cake,Chocolate Cake Recipe (Basic Indian Chocolate Cake),https://www.tarladalal.com/chocolate-cake-1915r,https://www.tarladalal.com/calories-for-Chocolate-Cake-1915,3,8,for Chocolate Cake,cake,Nutrient values (Abbrv) per cake,193.3 g,225 mg,1697 Calories,90.0 g,3.7 g,32.2 g,1693 mg
Cheese Burst Pizza,Cheese Burst Pizza Recipe (Three Cheese Pizza),https://www.tarladalal.com/dominos-cheese-burst-pizza-three-cheese-pizza-42568r,https://www.tarladalal.com/calories-for-Dominos-Cheese-Burst-Pizza-Three-Cheese-Pizza-42568,3,17,For Dominos Cheese Burst Pizza,pizza,Nutrient values (Abbrv) per pizza,75.6 g,155 mg,1047 Calories,63.2 g,2.4 g,45.2 g,2768 mg
Hot And Sour Soup ( Chinese ),Hot And Sour Soup ( Chinese ) Recipe (Chinese Recipes),https://www.tarladalal.com/hot-and-sour-soup--chinese-recipe--22753r,https://www.tarladalal.com/calories-for-Hot-and-Sour-Soup--Chinese-Recipe--22753,3,14,Main Ingredients,serving,Nutrient values (Abbrv) per serving,15.2 g,0 mg,142 Calories,8.1 g,3.7 g,2.4 g,189 mg
Malai Ghevar,Malai Ghevar Recipe (Rabdi Ghevar),https://www.tarladalal.com/malai-ghevar-rabdi-ghevar-3913r,https://www.tarladalal.com/calories-for-Malai-Ghevar-Rabdi-Ghevar-3913,3,11,For The Ghevar | For The Sugar Syrup | Other Ingredients,ghevar,Nutrient values (Abbrv) per ghevar,85.7 g,40 mg,699 Calories,31.8 g,1.1 g,17.1 g,51 mg
