food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
Sprouted and Boiled Matki,cup,1 cup,,,cup of Sprouted and Boiled Matki,Value per cup,% Daily Values,20,14%,144.8 mg,15%,40.5 g,0%,0.0 mg,12%,237 kcal,1%,0.79 g,11%,3.23 g,0%,0.0 mcg,36%,6.8 mg,42%,182.8 mg,16%,164.8 mg,22%,785.5 mg,28%,16.9 g,1%,21.1 mg,1%,6.5 mcg,23%,0.3 mg,3%,0.1 mg,8%,1.1 mg,2%,1.4 mg,0%,0.0 mg,0%,0.0 mg
Yellow Moong Dal,serving,1 serving,,,serving of Yellow Moong Dal,Value serving,% Daily Values,20,2%,22.8 mg,5%,12.6 g,0%,0.0 mg,4%,72 kcal,0%,0.26 g,6%,1.77 g,10%,30.0 mcg,4%,0.9 mg,5%,23.5 mg,1%,6.9 mg,7%,243.2 mg,8%,4.8 g,0%,6.8 mg,4%,43.6 mcg,8%,0.1 mg,2%,0.0 mg,4%,0.5 mg,4%,3.5 mg,0%,0.0 mg,3%,0.6 mg
tablespoon of Coconut Chutney,tbsp,1 tbsp,,,tablespoon of Coconut Chutney,Value per tbsp,% Daily Values,20,2%,15.7 mg,5%,14.7 g,0%,0.0 mg,25%,501 kcal,78%,46.70 g,47%,13.97 g,4%,12.5 mcg,10%,1.8 mg,7%,32.0 mg,24%,240.0 mg,11%,402.3 mg,9%,5.5 g,1%,29.3 mg,9%,91.9 mcg,6%,0.1 mg,7%,0.1 mg,8%,1.1 mg,7%,5.8 mg,3%,0.2 mg,6%,1.1 mg
Jowar Bhakri,bhakri,"45 grams, 6 inches width",45 grams,45,Jowar Bhakri,Value per bhakri,% Daily Values,20,1%,6.6 mg,6%,15.7 g,0%,0.0 mg,4%,75 kcal,1%,0.41 g,7%,2.24 g,2%,5.2 mcg,5%,0.9 mg,8%,35.0 mg,6%,55.2 mg,1%,38.2 mg,4%,2.3 g,0%,2.3 mg,1%,7.8 mcg,6%,0.1 mg,2%,0.0 mg,5%,0.7 mg,0%,0.0 mg,1%,0.0 mg,2%,0.4 mg
Rajma,serving,1 serving,,,serving of Rajma,Value serving,% Daily Values,20,14%,136.9 mg,10%,28.0 g,3%,7.5 mg,12%,232 kcal,15%,9.12 g,9%,2.66 g,54%,161.7 mcg,12%,2.4 mg,18%,78.6 mg,18%,178.6 mg,18%,634.2 mg,16%,9.5 g,2%,34.5 mg,31%,313.9 mcg,9%,0.1 mg,3%,0.1 mg,4%,0.5 mg,18%,14.7 mg,-1%,-0.1 mg,11%,1.8 mg
Motichoor Ke Ladoo,ladoo,1 ladoo,,,Motichoor Ke Ladoo,Value per ladoo,% Daily Values,20,4%,39.4 mg,9%,24.5 g,1%,1.8 mg,10%,204 kcal,17%,9.94 g,7%,2.17 g,8%,22.7 mcg,5%,0.9 mg,5%,21.6 mg,7%,65.1 mg,3%,119.3 mg,6%,3.6 g,1%,12.3 mg,28%,283.6 mcg,5%,0.1 mg,2%,0.0 mg,2%,0.3 mg,7%,5.5 mg,1%,0.1 mg,2%,0.3 mg
Mango Milkshake,glass,1 glass,,,glass of Mango Milkshake,Value glass,% Daily Values,20,22%,217.4 mg,14%,37.7 g,5%,16.0 mg,13%,252 kcal,11%,6.71 g,1%,0.37 g,2%,5.6 mcg,5%,0.9 mg,37%,160.8 mg,14%,138.4 mg,6%,197.6 mg,8%,4.6 g,2%,32.7 mg,160%,1600.1 mcg,6%,0.1 mg,7%,0.1 mg,4%,0.6 mg,12%,9.4 mg,0%,0.0 mg,1%,0.1 mg
Medu Vada,medu vada,30 grans,,,Medu Vada,Value per medu vada,% Daily Values,20,3%,32.3 mg,5%,12.5 g,0%,0.0 mg,4%,73 kcal,0%,0.29 g,8%,2.46 g,9%,27.7 mcg,4%,0.8 mg,6%,27.3 mg,8%,80.9 mg,5%,168.0 mg,8%,5.0 g,0%,8.4 mg,1%,8.0 mcg,6%,0.1 mg,3%,0.1 mg,3%,0.4 mg,0%,0.0 mg,0%,0.0 mg,4%,0.6 mg
Vegetable Sandwich,sandwiche,1 sandwiche,,,Vegetable Sandwich,Value sandwiche,% Daily Values,20,5%,51.8 mg,15%,41.2 g,8%,25.0 mg,13%,266 kcal,14%,8.70 g,12%,3.74 g,10%,31.2 mcg,10%,1.8 mg,12%,51.7 mg,6%,60.4 mg,6%,225.2 mg,10%,5.8 g,6%,118.8 mg,110%,1098.5 mcg,11%,0.2 mg,4%,0.1 mg,9%,1.3 mg,43%,34.7 mg,7%,0.5 mg,4%,0.7 mg
Appam,appam,50 grams,50 grams,50,Appam,Value per appam,% Daily Values,20,0%,4.9 mg,7%,19.5 g,0%,0.0 mg,7%,138 kcal,10%,6.05 g,4%,1.29 g,1%,4.4 mcg,2%,0.4 mg,6%,26.6 mg,5%,51.5 mg,2%,59.8 mg,3%,1.9 g,0%,4.0 mg,2%,19.1 mcg,1%,0.0 mg,1%,0.0 mg,4%,0.6 mg,1%,0.5 mg,0%,0.0 mg,2%,0.4 mg
Paneer Bhurji,serving,1 serving,,,serving of Paneer Bhurji,Value serving,% Daily Values,20,38%,382.6 mg,4%,10.9 g,0%,0.0 mg,19%,370 kcal,53%,31.68 g,3%,0.93 g,5%,14.6 mcg,2%,0.5 mg,2%,10.0 mg,22%,224.8 mg,3%,102.7 mg,17%,10.4 g,0%,7.2 mg,64%,639.4 mcg,9%,0.1 mg,2%,0.0 mg,2%,0.3 mg,23%,18.4 mg,0%,0.0 mg,1%,0.1 mg
Chenna,cup,1 cup,,,cup of Chenna,Value per cup,% Daily Values,20,128%,1281.0 mg,12%,33.3 g,32%,96.0 mg,36%,719 kcal,65%,39.27 g,2%,0.51 g,11%,33.6 mcg,7%,1.3 mg,27%,119.7 mg,78%,783.0 mg,18%,621.0 mg,44%,26.1 g,6%,114.0 mg,96%,960.0 mcg,18%,0.2 mg,30%,0.6 mg,5%,0.6 mg,22%,17.7 mg,-84%,-6.3 mg,0%,0.0 mg
Moong Dal Khichdi,serving,1 serving,,,serving of Moong Dal Khichdi,Value serving,% Daily Values,20,3%,32.5 mg,20%,54.0 g,0%,0.0 mg,17%,342 kcal,14%,8.66 g,16%,4.76 g,19%,56.4 mcg,9%,1.8 mg,18%,78.2 mg,7%,65.7 mg,12%,437.0 mg,20%,12.0 g,1%,10.3 mg,9%,90.6 mcg,14%,0.2 mg,5%,0.1 mg,12%,1.7 mg,0%,0.0 mg,-6%,-0.5 mg,9%,1.6 mg
"Egg Bhurji, Anda Bhurji",serving,1 serving,,,"serving of Egg Bhurji, Anda Bhurji",Value serving,% Daily Values,20,7%,68.0 mg,1%,3.4 g,0%,0.0 mg,11%,215 kcal,29%,17.60 g,3%,0.96 g,23%,69.2 mcg,19%,3.7 mg,3%,12.8 mg,18%,184.6 mg,2%,83.4 mg,18%,10.7 g,0%,5.4 mg,86%,859.4 mcg,14%,0.2 mg,16%,0.3 mg,2%,0.3 mg,41%,32.8 mg,12%,0.9 mg,1%,0.1 mg
serving of Toor Dal,serving,1 serving,,,serving of Toor Dal,Value serving,% Daily Values,20,3%,33.8 mg,7%,19.1 g,0%,0.0 mg,7%,143 kcal,7%,4.31 g,10%,3.08 g,12%,35.1 mcg,5%,1.0 mg,0%,0.0 mg,0%,0.0 mg,11%,368.0 mg,12%,7.1 g,1%,11.2 mg,21%,212.3 mcg,11%,0.2 mg,3%,0.1 mg,7%,1.0 mg,7%,5.6 mg,-7%,-0.5 mg,2%,0.3 mg
Rice Kheer,serving,1 serving,,,serving of Rice Kheer,Value serving,% Daily Values,20,23%,229.3 mg,11%,30.6 g,4%,12.8 mg,12%,235 kcal,13%,8.08 g,2%,0.46 g,3%,7.7 mcg,1%,0.3 mg,6%,25.3 mg,12%,121.9 mg,4%,150.7 mg,10%,5.9 g,2%,42.1 mg,17%,174.7 mcg,16%,0.2 mg,9%,0.2 mg,2%,0.3 mg,2%,1.4 mg,-16%,-1.2 mg,2%,0.3 mg
Moong Dal Dosa,dosa,50 grams,50 grams,50,Moong Dal Dosa,Value per dosa,% Daily Values,20,1%,11.9 mg,6%,17.0 g,0%,0.0 mg,7%,132 kcal,9%,5.23 g,5%,1.62 g,7%,21.0 mcg,3%,0.6 mg,6%,27.2 mg,8%,75.4 mg,5%,173.8 mg,7%,4.3 g,0%,4.7 mg,5%,52.1 mcg,5%,0.1 mg,2%,0.0 mg,4%,0.5 mg,0%,0.0 mg,0%,0.0 mg,3%,0.5 mg
Vegetable Chow Mein,serving,1 serving,,,serving of Vegetable Chow Mein,Value serving,% Daily Values,20,3%,32.1 mg,17%,46.2 g,0%,0.0 mg,13%,253 kcal,8%,4.52 g,7%,1.97 g,9%,28.0 mcg,6%,1.1 mg,4%,18.1 mg,8%,78.6 mg,5%,179.3 mg,13%,7.9 g,16%,320.7 mg,21%,213.0 mcg,10%,0.1 mg,8%,0.2 mg,9%,1.2 mg,35%,28.0 mg,2%,0.1 mg,2%,0.4 mg
Phulka,phulka,1 phulka,,,Phulka,Value per phulka,% Daily Values,20,1%,7.9 mg,4%,11.8 g,0%,0.0 mg,3%,55 kcal,1%,0.31 g,6%,1.87 g,2%,5.8 mcg,4%,0.8 mg,5%,21.5 mg,6%,57.7 mg,1%,51.2 mg,3%,2.0 g,10%,197.0 mg,0%,0.4 mcg,6%,0.1 mg,1%,0.0 mg,5%,0.7 mg,0%,0.0 mg,2%,0.1 mg,2%,0.4 mg
Salted Lassi,glass,1 glass,,,glass of Salted Lassi,Value per glass,% Daily Values,20,32%,315.5 mg,3%,7.5 g,8%,24.0 mg,9%,176 kcal,16%,9.75 g,0%,0.00 g,3%,8.4 mcg,2%,0.3 mg,6%,28.5 mg,20%,195.0 mg,4%,135.2 mg,11%,6.5 g,40%,803.7 mg,24%,240.0 mcg,4%,0.1 mg,8%,0.2 mg,1%,0.2 mg,2%,1.5 mg,0%,0.0 mg,0%,0.0 mg
Masala Tea,cup,1 cup,,,cup of Masala Tea,Value per cup,% Daily Values,20,12%,120.7 mg,4%,12.2 g,3%,9.1 mg,5%,105 kcal,6%,3.72 g,0%,0.00 g,1%,4.1 mcg,1%,0.2 mg,3%,11.5 mg,8%,75.4 mg,2%,59.7 mg,4%,2.5 g,1%,10.9 mg,9%,91.4 mcg,2%,0.0 mg,3%,0.1 mg,1%,0.1 mg,1%,0.6 mg,0%,0.0 mg,0%,0.0 mg
"Khakhra,",khakra,1 khakra,,,"Khakhra, (25 grams, 8 inches width)",Value khakra,% Daily Values,20,1%,10.4 mg,6%,15.7 g,0%,0.0 mg,6%,119 kcal,9%,5.41 g,9%,2.64 g,3%,7.8 mcg,6%,1.1 mg,7%,28.6 mg,8%,76.9 mg,2%,68.3 mg,4%,2.6 g,0%,4.3 mg,5%,45.6 mcg,8%,0.1 mg,2%,0.0 mg,7%,0.9 mg,0%,0.0 mg,3%,0.2 mg,3%,0.5 mg
Palak Paneer,serving,1 serving,,,serving of Palak Paneer,Value serving,% Daily Values,20,40%,401.2 mg,6%,16.4 g,1%,2.5 mg,19%,374 kcal,47%,28.44 g,14%,4.25 g,62%,186.5 mcg,26%,4.9 mg,35%,153.5 mg,25%,246.5 mg,13%,441.2 mg,22%,13.3 g,5%,98.6 mg,799%,7989.7 mcg,15%,0.2 mg,21%,0.4 mg,7%,1.0 mg,62%,49.3 mg,38%,2.9 mg,9%,1.5 mg
Curd Rice,serving,1 serving,220 grams,220,serving of Curd Rice,Value serving,% Daily Values,20,27%,272.1 mg,13%,36.9 g,7%,20.0 mg,19%,376 kcal,31%,18.66 g,6%,1.84 g,5%,13.6 mcg,3%,0.6 mg,14%,60.5 mg,23%,231.3 mg,5%,161.2 mg,14%,8.5 g,1%,28.0 mg,40%,397.3 mcg,6%,0.1 mg,8%,0.2 mg,6%,0.9 mg,4%,3.3 mg,1%,0.0 mg,3%,0.6 mg
Til Laddu,ladoo,1 ladoo,,,Til Laddu,Value ladoo,% Daily Values,20,10%,96.7 mg,5%,13.0 g,0%,0.0 mg,6%,110 kcal,9%,5.58 g,6%,1.65 g,6%,16.6 mcg,6%,1.2 mg,8%,34.3 mg,6%,62.2 mg,2%,55.4 mg,4%,2.2 g,0%,1.3 mg,1%,12.9 mcg,7%,0.1 mg,2%,0.0 mg,5%,0.6 mg,0%,0.0 mg,3%,0.2 mg,7%,1.1 mg
Ragi Roti,roti,45 grams,45 grams,45,Ragi Roti,Value per roti,% Daily Values,20,8%,80.7 mg,5%,14.1 g,0%,0.9 mg,5%,94 kcal,6%,3.36 g,8%,2.41 g,2%,5.1 mcg,5%,0.9 mg,6%,27.6 mg,9%,89.0 mg,3%,95.9 mg,3%,1.7 g,0%,5.2 mg,16%,157.1 mcg,6%,0.1 mg,2%,0.0 mg,2%,0.2 mg,3%,2.1 mg,0%,0.0 mg,3%,0.5 mg
Maida Tandoori Naan/ Roti,roti,80 grams,80 grams,80,Maida Tandoori Naan/ Roti,Value roti,% Daily Values,20,5%,53.7 mg,14%,37.2 g,2%,6.4 mg,11%,215 kcal,8%,4.63 g,1%,0.38 g,2%,7.5 mcg,9%,1.8 mg,10%,42.9 mg,12%,117.1 mg,3%,104.4 mg,10%,6.2 g,5%,102.7 mg,18%,176.8 mcg,8%,0.1 mg,3%,0.1 mg,12%,1.6 mg,2%,1.5 mg,3%,0.3 mg,4%,0.6 mg
Sunny Side Up Egg,egg,1 egg,,,Sunny Side Up Egg,Value egg,% Daily Values,20,3%,30.0 mg,0%,0.0 g,1%,3.8 mg,5%,97 kcal,13%,7.87 g,0%,0.00 g,13%,39.2 mcg,6%,1.1 mg,0%,0.0 mg,0%,0.0 mg,0%,0.4 mg,11%,6.7 g,1%,12.4 mg,35%,348.0 mcg,4%,0.1 mg,10%,0.2 mg,0%,0.1 mg,0%,0.0 mg,-7%,-0.5 mg,0%,0.0 mg
"Dahi Vada, Dahi Bhalla",vada,1 vada,,,"Dahi Vada, Dahi Bhalla",Value per vada,% Daily Values,20,8%,81.6 mg,11%,31.4 g,0%,0.0 mg,16%,318 kcal,26%,15.75 g,21%,6.31 g,23%,70.0 mcg,11%,2.1 mg,17%,75.1 mg,20%,204.1 mg,12%,420.0 mg,21%,12.7 g,1%,20.9 mg,16%,159.3 mcg,16%,0.2 mg,8%,0.2 mg,8%,1.1 mg,4%,2.9 mg,0%,0.0 mg,10%,1.6 mg
Tabbouleh,serving,1 serving,,,serving of Tabbouleh,Value serving,% Daily Values,20,5%,53.9 mg,5%,14.5 g,0%,0.0 mg,7%,136 kcal,13%,8.04 g,8%,2.29 g,11%,34.1 mcg,11%,2.1 mg,8%,35.2 mg,7%,70.4 mg,6%,203.5 mg,3%,2.0 g,1%,10.3 mg,23%,228.0 mcg,10%,0.1 mg,3%,0.1 mg,6%,0.8 mg,35%,28.2 mg,16%,1.2 mg,1%,0.2 mg
Mixed Vegetable Clear Soup Recipe. Healthy Veg Soup,serving,1 serving,180 grams,180,,Value serving,% Daily Values,20,4%,40.0 mg,1%,3.7 g,0%,0.0 mg,2%,32 kcal,2%,1.46 g,6%,1.88 g,7%,20.1 mcg,4%,0.8 mg,3%,12.7 mg,7%,71.0 mg,3%,97.1 mg,2%,1.1 g,1%,15.5 mg,81%,807.4 mcg,5%,0.1 mg,2%,0.0 mg,2%,0.3 mg,48%,38.6 mg,6%,0.4 mg,1%,0.2 mg
Oats Roti,roti,40 grams weight,40 grams,40,Oats Roti,Value roti,% Daily Values,20,1%,10.8 mg,4%,12.3 g,0%,0.0 mg,4%,88 kcal,6%,3.51 g,7%,2.03 g,2%,7.1 mcg,4%,0.8 mg,6%,24.7 mg,6%,62.4 mg,2%,62.6 mg,4%,2.3 g,0%,3.1 mg,7%,69.1 mcg,7%,0.1 mg,1%,0.0 mg,4%,0.6 mg,2%,1.3 mg,2%,0.1 mg,3%,0.5 mg
Dal Makhani,serving,1 serving,,,serving of Dal Makhani,Value serving,% Daily Values,20,11%,108.5 mg,9%,24.0 g,8%,22.5 mg,14%,278 kcal,28%,16.87 g,23%,6.88 g,48%,143.4 mcg,12%,2.3 mg,15%,66.1 mg,14%,139.1 mg,14%,492.8 mg,14%,8.4 g,5%,97.9 mg,88%,878.0 mcg,19%,0.3 mg,5%,0.1 mg,5%,0.8 mg,35%,27.8 mg,3%,0.2 mg,7%,1.1 mg
Rice Porridge,cup,1 cup,,,cup of Rice Porridge,Value per cup,% Daily Values,20,0%,2.0 mg,6%,15.6 g,0%,0.0 mg,4%,78 kcal,2%,1.10 g,3%,0.82 g,1%,1.6 mcg,1%,0.1 mg,4%,18.0 mg,3%,32.0 mg,0%,15.4 mg,2%,1.4 g,0%,1.4 mg,1%,9.0 mcg,1%,0.0 mg,1%,0.0 mg,3%,0.4 mg,0%,0.0 mg,0%,0.0 mg,2%,0.3 mg
serving 234 grams) of Sambar,serving,1 serving,234 grams,234,serving 234 grams) of Sambar,Value serving,% Daily Values,20,4%,37.1 mg,7%,18.0 g,0%,0.0 mg,6%,122 kcal,6%,3.42 g,10%,2.95 g,9%,28.5 mcg,5%,1.0 mg,9%,38.4 mg,9%,89.1 mg,10%,343.5 mg,8%,5.1 g,1%,11.3 mg,17%,165.1 mcg,10%,0.1 mg,3%,0.1 mg,7%,0.9 mg,28%,22.2 mg,5%,0.4 mg,2%,0.4 mg
Gajar ka Halwa,serving,1 serving,,,serving of Gajar ka Halwa,Value serving,% Daily Values,20,30%,299.8 mg,15%,41.8 g,0%,0.0 mg,19%,386 kcal,36%,21.73 g,13%,3.87 g,4%,13.2 mcg,5%,0.9 mg,3%,15.0 mg,57%,567.2 mg,3%,95.0 mg,9%,5.6 g,2%,31.3 mg,184%,1837.0 mcg,6%,0.1 mg,6%,0.1 mg,4%,0.6 mg,5%,4.1 mg,-3%,-0.2 mg,2%,0.3 mg
"Potato Sandwich, Aloo Sandwich",sandwich,1 sandwich,,,"Potato Sandwich, Aloo Sandwich",Value per sandwich,% Daily Values,20,3%,33.5 mg,13%,35.2 g,6%,18.8 mg,11%,217 kcal,11%,6.51 g,4%,1.31 g,5%,14.5 mcg,7%,1.3 mg,5%,20.6 mg,3%,34.1 mg,5%,165.1 mg,7%,4.4 g,3%,69.5 mg,48%,483.6 mcg,7%,0.1 mg,1%,0.0 mg,7%,1.0 mg,21%,16.9 mg,3%,0.3 mg,2%,0.4 mg
Bhakri,bhakhri,1 bhakhri,,,bhakri,Value per bhakhri,% Daily Values,20,1%,12.5 mg,7%,18.9 g,0%,0.0 mg,8%,169 kcal,16%,9.39 g,11%,3.17 g,3%,9.3 mcg,7%,1.3 mg,8%,34.3 mg,9%,92.3 mg,2%,81.9 mg,5%,3.1 g,0%,5.2 mg,8%,80.8 mcg,9%,0.1 mg,2%,0.0 mg,8%,1.1 mg,0%,0.0 mg,6%,0.4 mg,3%,0.6 mg
"Tomato, Cucumber and Onion Salad",serving,1 serving,,,"serving of Tomato, Cucumber and Onion Salad",Value serving,% Daily Values,20,3%,25.8 mg,1%,3.0 g,0%,0.0 mg,1%,16 kcal,0%,0.14 g,5%,1.63 g,5%,15.8 mcg,3%,0.6 mg,2%,10.9 mg,2%,17.8 mg,3%,96.7 mg,1%,0.7 g,5%,93.2 mg,14%,138.7 mcg,4%,0.1 mg,2%,0.0 mg,1%,0.2 mg,20%,16.0 mg,1%,0.1 mg,1%,0.1 mg
tablespoon of Lebanese Garlic Sauce,tbsp,1 tbsp,,,tablespoon of Lebanese Garlic Sauce,Value per tbsp,% Daily Values,20,4%,42.0 mg,2%,6.7 g,0%,0.0 mg,92%,1834 kcal,334%,200.53 g,3%,1.01 g,2%,4.8 mcg,1%,0.2 mg,3%,11.4 mg,1%,6.0 mg,5%,162.0 mg,1%,0.6 g,0%,1.2 mg,180%,1800.0 mcg,1%,0.0 mg,0%,0.0 mg,0%,0.1 mg,31%,24.4 mg,2%,0.1 mg,0%,0.0 mg
Dal Vada,vada,1 vada,,,Dal Vada,Value per vada,% Daily Values,20,1%,7.9 mg,2%,6.2 g,0%,0.0 mg,5%,91 kcal,11%,6.43 g,5%,1.51 g,5%,14.5 mcg,3%,0.5 mg,0%,0.0 mg,0%,0.0 mg,2%,75.3 mg,3%,2.1 g,0%,7.4 mg,9%,89.8 mcg,4%,0.0 mg,1%,0.0 mg,2%,0.3 mg,1%,1.0 mg,-3%,-0.2 mg,1%,0.2 mg
Grilled Paneer Sandwich,sandwich,1 sandwich,,,Grilled Paneer Sandwich,Value per sandwich,% Daily Values,20,2%,23.3 mg,9%,25.2 g,4%,11.9 mg,8%,158 kcal,7%,4.44 g,7%,1.97 g,3%,9.5 mcg,5%,1.0 mg,3%,12.0 mg,3%,34.2 mg,5%,163.7 mg,7%,4.5 g,2%,40.7 mg,53%,532.9 mcg,37%,0.5 mg,2%,0.0 mg,3%,0.4 mg,151%,121.2 mg,6%,0.5 mg,1%,0.1 mg
Sarson ka Saag,serving,1 serving,,,serving of Sarson ka Saag,Value serving,% Daily Values,20,9%,91.9 mg,2%,4.3 g,0%,0.0 mg,3%,64 kcal,7%,4.36 g,7%,2.23 g,35%,105.5 mcg,13%,2.4 mg,13%,57.0 mg,3%,26.1 mg,6%,196.1 mg,3%,1.9 g,3%,50.7 mg,478%,4776.9 mcg,3%,0.0 mg,11%,0.2 mg,4%,0.5 mg,32%,25.6 mg,23%,1.7 mg,2%,0.3 mg
Ven Pongal Recipe (Khara Pongal),serving,1 serving,,,,Value serving,% Daily Values,20,1%,13.5 mg,11%,29.0 g,0%,0.0 mg,11%,212 kcal,14%,8.20 g,7%,2.17 g,7%,21.8 mcg,4%,0.8 mg,11%,47.4 mg,6%,55.2 mg,5%,182.7 mg,9%,5.5 g,0%,5.6 mg,7%,67.8 mcg,7%,0.1 mg,2%,0.0 mg,6%,0.8 mg,0%,0.0 mg,0%,0.0 mg,5%,0.9 mg
Jowar Roti,roti,"5 inches, 43 grans",,,Jowar Roti,Value per roti,% Daily Values,20,0%,3.5 mg,4%,10.2 g,0%,0.0 mg,2%,49 kcal,0%,0.27 g,5%,1.36 g,1%,2.8 mcg,3%,0.6 mg,5%,23.9 mg,3%,31.1 mg,1%,18.3 mg,2%,1.5 g,0%,1.0 mg,1%,6.6 mcg,4%,0.1 mg,1%,0.0 mg,3%,0.4 mg,0%,0.0 mg,0%,0.0 mg,1%,0.2 mg
glass Chaas,glass,200 ml,,,glass Chaas,Value per glass,% Daily Values,20,21%,210.0 mg,2%,5.0 g,5%,16.0 mg,6%,128 kcal,13%,7.75 g,0%,0.00 g,2%,5.6 mcg,1%,0.2 mg,4%,19.0 mg,13%,130.0 mg,3%,90.0 mg,7%,4.3 g,1%,19.0 mg,17%,171.3 mcg,3%,0.0 mg,5%,0.1 mg,1%,0.1 mg,1%,1.0 mg,0%,0.0 mg,0%,0.0 mg
Bhindi Masala,serving,1 serving,,,serving of Bhindi Masala,Value serving,% Daily Values,20,7%,71.0 mg,4%,9.7 g,0%,0.0 mg,4%,89 kcal,7%,4.45 g,10%,2.92 g,17%,51.6 mcg,5%,0.9 mg,8%,37.1 mg,6%,61.6 mg,5%,160.9 mg,4%,2.6 g,1%,12.2 mg,63%,631.2 mcg,6%,0.1 mg,3%,0.1 mg,4%,0.6 mg,28%,22.1 mg,3%,0.2 mg,3%,0.5 mg
Poha Chivda,cup,1 cup,,,cup of Poha Chivda,Value per cup,% Daily Values,20,2%,20.7 mg,19%,53.3 g,0%,0.0 mg,18%,358 kcal,22%,13.33 g,3%,0.88 g,0%,0.0 mcg,65%,12.4 mg,0%,0.0 mg,0%,0.0 mg,4%,141.8 mg,10%,6.1 g,1%,16.5 mg,14%,143.2 mcg,14%,0.2 mg,4%,0.1 mg,20%,2.8 mg,3%,2.7 mg,-12%,-0.9 mg,2%,0.3 mg
Rava Chilla,chilla,45 grams,45 grams,45,Rava Chilla,Value per chilla,% Daily Values,20,1%,7.2 mg,5%,13.8 g,0%,0.0 mg,6%,121 kcal,11%,6.49 g,0%,0.11 g,0%,0.3 mcg,2%,0.3 mg,0%,0.0 mg,0%,0.0 mg,1%,24.1 mg,3%,1.9 g,0%,4.5 mg,13%,126.2 mcg,2%,0.0 mg,0%,0.0 mg,2%,0.3 mg,2%,2.0 mg,-4%,-0.3 mg,0%,0.0 mg
Rasmalai,piece,1 piece,,,piece of Rasmalai,Value per piece,% Daily Values,20,85%,852.6 mg,24%,67.3 g,21%,64.5 mg,33%,662 kcal,44%,26.28 g,1%,0.15 g,8%,23.3 mcg,4%,0.8 mg,18%,78.3 mg,52%,524.8 mg,11%,387.0 mg,29%,17.4 g,4%,76.8 mg,64%,644.8 mcg,12%,0.2 mg,20%,0.4 mg,3%,0.4 mg,9%,7.5 mg,0%,0.0 mg,0%,0.0 mg
Mysore Masala Dosa,dosa,200 grams,200 grams,200,Mysore Masala Dosa,Value dosa,% Daily Values,20,8%,77.5 mg,18%,50.0 g,15%,45.5 mg,27%,539 kcal,55%,32.79 g,34%,10.32 g,25%,74.0 mcg,17%,3.2 mg,14%,60.2 mg,20%,204.5 mg,14%,497.3 mg,65%,38.9 g,10%,190.6 mg,109%,1090.7 mcg,27%,0.4 mg,9%,0.2 mg,13%,1.8 mg,67%,53.4 mg,8%,0.6 mg,8%,1.4 mg
Punjabi Dal Tadka,serving,1 serving,,,serving of Punjabi Dal Tadka,Value serving,% Daily Values,20,4%,39.8 mg,11%,28.9 g,0%,0.0 mg,13%,259 kcal,18%,10.65 g,16%,4.88 g,10%,30.1 mcg,18%,3.3 mg,9%,40.3 mg,12%,115.6 mg,4%,128.2 mg,20%,12.0 g,0%,4.0 mg,23%,233.7 mcg,16%,0.2 mg,5%,0.1 mg,10%,1.4 mg,4%,3.0 mg,-8%,-0.6 mg,9%,1.5 mg
"serving (200 grams) of Whole Masoor Dal, Sabut Masoor Dal",serving,1 serving,200 grams,200,"serving (200 grams) of Whole Masoor Dal, Sabut Masoor Dal",Value serving,% Daily Values,20,6%,64.8 mg,10%,27.4 g,0%,0.0 mg,13%,258 kcal,21%,12.40 g,14%,4.23 g,7%,22.3 mcg,16%,3.1 mg,9%,37.9 mg,13%,131.3 mg,12%,436.9 mg,15%,9.2 g,0%,7.3 mg,33%,334.0 mcg,16%,0.2 mg,4%,0.1 mg,9%,1.3 mg,21%,16.6 mg,3%,0.2 mg,8%,1.3 mg
Sooji Ka Halwa,serving,1 serving,,,serving of Sooji Ka Halwa,Value serving,% Daily Values,20,5%,45.8 mg,15%,42.5 g,1%,3.0 mg,14%,285 kcal,19%,11.16 g,2%,0.46 g,4%,11.9 mcg,2%,0.4 mg,5%,20.4 mg,5%,48.2 mg,1%,50.2 mg,4%,2.7 g,1%,15.4 mg,14%,136.3 mcg,3%,0.0 mg,2%,0.0 mg,3%,0.4 mg,2%,1.9 mg,0%,0.0 mg,1%,0.2 mg
